gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,team_rating,team_region,team_seed,team_slot
mens,2021-03-14,0,1.0,0.19885841783,0.050737697119,0.005960097249,0.001343209732,0.000263279424,4.8833114e-05,1,1,2335,Liberty,76.96,Midwest,13,78
mens,2021-03-14,0,1.0,0.135806705148,0.033725868737,0.00300288207,0.000673227242,0.000183081657,3.9892494e-05,1,1,195,Ohio,77.5,West,13,14
mens,2021-03-14,0,1.0,0.121197240926,0.028054275339,0.00421650029,0.000429715495,0.000100090413,1.8766287e-05,1,1,331,Eastern Washington,76.09,West,14,22
mens,2021-03-14,0,1.0,0.052679141486,0.010834601015,0.001973315578,0.000166964587,3.3089315e-05,5.306316e-06,1,1,2253,Grand Canyon,74.71,West,15,30
mens,2021-03-14,0,1.0,0.094650823918,0.014341535229,0.001790693299,0.000203941313,2.7886582e-05,3.675114e-06,1,1,2413,Morehead State,73.7,Midwest,14,86
mens,2021-03-14,0,1.0,0.056443927221,0.011309968332,0.001721078024,0.00017114738,2.167309e-05,2.661568e-06,1,1,198,Oral Roberts,73.26,South,15,126
mens,2021-03-14,0,1.0,0.023840696899,0.003052842031,0.000504915464,6.5124375e-05,7.485836e-06,8.35544e-07,1,1,2182,Drexel,72.46,Midwest,16,66
mens,2021-03-14,0,1.0,0.04682802389,0.00512565158,0.000671462534,8.0113366e-05,5.973731e-06,6.76438e-07,1,1,314,Iona,71.81,East,15,62
mens,2021-03-14,0,1.0,0.03989030074,0.005523260954,0.000696476004,6.1086693e-05,6.510249e-06,6.75733e-07,1,1,325,Cleveland State,71.84,Midwest,15,94
mens,2021-03-14,0,1.0,0.018082241487,0.001278743511,0.000166017027,1.870608e-05,1.763059e-06,1.63019e-07,1,1,42,Hartford,70.92,South,16,98
mens,2021-03-14,1,0.587461516091,0.00693993971,0.00097945343,9.8403761e-05,9.634453e-06,1.225134e-06,1.27825e-07,0,1,2026,Appalachian State,70.29,West,16b,3
mens,2021-03-14,1,0.505411111796,0.016055290156,0.001542435702,0.000152137931,1.4781623e-05,8.61696e-07,7.7325e-08,0,1,116,Mount St. Mary's,68.91,East,16a,34
mens,2021-03-14,1,0.494588888204,0.01545244938,0.001461980492,0.000142119987,1.3614365e-05,7.82576e-07,6.9293e-08,0,1,2640,Texas Southern,68.78,East,16b,35
mens,2021-03-14,1,0.412538483909,0.003689988629,0.000407815436,3.2286396e-05,2.50583e-06,2.5565e-07,2.1528e-08,0,1,2450,Norfolk State,68.28,West,16a,2
